kalam-ump, xdg-open https://kalam.ump.edu.my, KALAM, 1, 0
ecomm-ump, xdg-open https://community.ump.edu.my, ECOMM, 1, 1
or-ump, xdg-open https://or.ump.edu.my, OR UMP, 1, 2
udas-ump, xdg-open https://udas.ump.edu.my, UDAS, 1, 3
efind-ump, xdg-open https://efind.ump.edu.my, EFind, 1, 4
dev, xdg-open https://darwishzain.com/index.php?project=true, Other Project, 2, 0
github, xdg-open https://github.com/darwishzain, Github, 2, 3
donate, xdg-open https://ko-fi.com/darwishzain, Donate, 2, 4

